PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
1031 Hans LLC,John O'Leary Jr Jim Dolan,1031,,N,Cicero,Ave,37,Austin,Northwest Industrial Corridor,8/19/2009,3/15/2010,Industrial,"sprinkler system, electrical, plumbing, tuckpoiting, interior, roof, paving, fence, signage",150000,533355,,,POINT (-87.74591100000002 41.899721)
1375 W Lake St LLC,Brian Elmiger,1375,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,7/30/2010,11/2/2010,Commercial,parking lot,150000,900000,0,35,POINT (-87.661671 41.885482)
1800 W Lake LLC,Chris Bambulas,1800,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,5/24/2010,7/15/2011,Industrial,"Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building.",47700,95400,,,POINT (-87.671916 41.885207)
"4311 S. Halsted, LLC (Landlord)",Jim Limperis,4311,,S,Halsted,St,11,New City,47th/Halsted,4/17/2017,12/27/2017,Commercial,"façade improvements including removal of the siding, bricks, and storefront system and replacement with new bricks with stone caps, and a new storefront system including new windows and doors (the residential windows were not included in the cost of this project).",87350.63,116467.5,1,0,POINT (-87.645684 41.815699)
Ace Styline Furniture,Ken Kruss,1747,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,,2/27/2007,Industrial,Repair Façade / Remove-replace signage. Re-roof building,50000,115196,,,POINT (-87.671296 41.887753)
AGB Investigative,John Griffin Jr,2033,,W,95th,St,19,Beverly,95th/Western,,3/19/2010,Commercial,signage &amp; awning,1562.5,3500,,,POINT (-87.673709 41.720985)
Albany Park Auto Clinic,Walter Hugh,3848,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,5/3/2007,Commercial,Fencing,9950,19900,,,POINT (-87.725142 41.968301)
All About Dance,Jessica Goldman,501,,W,North,Ave,2,Near North Side,Near North,7/13/2010,3/29/2011,Commercial,complete build-out,150000,239678.97,4,10,POINT (-87.641104 41.91104300000001)
Am Sewing Dynamics,Olga Chitiguel,4534,,W,North,Ave,37,Humboldt Park,Northwest Industrial Corridor,,4/26/2007,Industrial,"roof, façade, parking lot, HVAC, electrical, awning",50000,100000,,,POINT (-87.740215 41.909771)
Allied Metal Co.,Joel Fink,4528,,W,Division,St,37,Humboldt Park,Northwest Industrial Corridor,1/19/2016,10/18/2016,Industrial,demolition of existing roofing; install new metal and wood decking; install new insulation and base sheet; install new roofing membrane and flashings; and remove deteriorated metal panels at “penthouse” roof structure and replace with new metal panels and flashings,150000,444760,3,72,POINT (-87.739388 41.902481)
